fecha;autor;tweet
2021-02-18 22:56:30;_Nunc_et_Semper;@memo5fire @Cperezcarvallo @Marceloleiva @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor A ti no t… https://t.co/7LQOrAqpjF
2021-02-18 22:55:24;pleon1311;@milenaeldan @danieljadue @FreddyBrionesG https://t.co/9QhVSLYdNF
2021-02-18 22:55:12;SraLoncon;@Cperezcarvallo @danieljadue Siga pa’ delante no más, usted es seco!!!
2021-02-18 22:54:57;pedrodvaldivia;@danieljadue @FutureNN Grande Presi ✌
2021-02-18 22:54:52;Latrodectus0;@RFelipeMC @Cperezcarvallo @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor Aaaah ... se me va a su… https://t.co/kL6PYePztu
2021-02-18 22:54:33;jorge_ptm_chile;#JaduePresidente https://t.co/YOFHH5fif0
2021-02-18 22:54:26;A36Vera;@danieljadue Igual eres un 🤡🤡🤡🤡🤡🤡
2021-02-18 22:53:38;Luther81957760;"Daniel Jadue (PC):
Estamos muy felices. Hoy nos vino a supervisar el ISP por el Avifavir y nos fue excelente! Ningu… https://t.co/xEbxWb4xyh"
2021-02-18 22:53:21;BubbleMar;@perromacana @cesar_rg @danieljadue Oye, pero tú aprende a escribir. Si no sabes escribir menos sabes de comunismo. Saco de 🥥🥥
2021-02-18 22:52:41;AlexDj1783alex;@lramirez1972 @danieljadue @Naid_28 Espero que no, pero si es así temo que tendremos más problemas que ahora!!!..
2021-02-18 22:52:38;JosAmorDeLaPat1;...más temprano que tarde deberá dar cuenta de sus afirmaciones https://t.co/SFUBUUTg8Y
2021-02-18 22:52:35;Gar1313;@danieljadue 150 millones para 7 personas janajaja dejen de mentir y usar el supuesto estudio para decir q recoleta… https://t.co/qKBKyf8ce8
2021-02-18 22:52:05;AndyTalc;@Icarus3012 @latercera Un payaso más que no debería ni pensar en postularse a un cargo político! Lacra! @danieljadue
2021-02-18 22:52:03;RicardoSeguel1;@danieljadue @AnaMariaGazmuri Bien Compañero ‼️
2021-02-18 22:51:53;BubbleMar;@perromacana @cesar_rg @danieljadue Como si fuera mentira.😂😂😂
2021-02-18 22:51:41;merluchilensis;"Con el compañero Ignacio Marchant en la Concejalía, #Maipú Puede Ser Distinto.

@Marchantxmaipu
@danieljadue… https://t.co/XtBmjZyiFg"
2021-02-18 22:50:16;LuisSandovalTr2;@danieljadue Ahora entiendo la postura de Mariana ...
2021-02-18 22:50:16;RFelipeMC;@Latrodectus0 @Cperezcarvallo @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor No se nota
2021-02-18 22:50:04;JocyGiavio;👏👏👏👏👏👏👏 https://t.co/Nz12lzAzzG
2021-02-18 22:49:47;analuisasa;Que buenas noticias 👏👏👏👏👏toda ayuda para salvar a nuestros compatriotas se agradece con el alma .... https://t.co/kbf5EMwtaW
2021-02-18 22:49:27;VargasGustavo9;@danieljadue Chupala jadue
2021-02-18 22:49:07;McmJohan;@danieljadue 7 personas? 🤣🤣🤣🤣🤣🤣🤣🤡🤡🤡🤡
2021-02-18 22:48:25;Naturalborn18;@lramirez1972 @danieljadue @Naid_28 https://t.co/Cz6DgzVDqD
2021-02-18 22:47:43;CarlosR45752680;@danieljadue https://t.co/HHjeXzdh7q
2021-02-18 22:47:25;Ana42735792;@danieljadue @ZurdoCritico Felicitaciones futuro Presidente.
2021-02-18 22:46:54;ekielmarin;Un grande 👏 https://t.co/xyBwYnoKok
2021-02-18 22:46:50;mariotapiabravo;@danieljadue @AnaMariaGazmuri Y las luminarias y rendición SEP???
2021-02-18 22:45:58;jotagato30;@IturriagaRomina @danieljadue @lcch Lée e infórmate!! Para que no hagas el ridículo preguntando pelotudeces....es d… https://t.co/gfjV2CTHsj
2021-02-18 22:45:52;OSWALD0626;@danieljadue @AnaMariaGazmuri 🤡🤡 https://t.co/1SzIxJkE8S
2021-02-18 22:45:26;milenaeldan;@danieljadue @FreddyBrionesG Siempre lo supimos, Don Pato era más chueco q cola de chancho. Muchos lo sabíamos desd… https://t.co/OPpsctT5ZR
2021-02-18 22:43:55;Psylocibe_;@JorgePobleteSa1 @jafesafe @lramirez1972 @danieljadue @Naid_28 Y no crees que es mejor educar en vez de humillar po… https://t.co/znX3D1EyKD
2021-02-18 22:41:40;patonga6;@PrincipalPuerto @Cperezcarvallo @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor 134 🤫🤫🤫🤫🤫🤫
2021-02-18 22:41:31;dalvarez0218;@danieljadue bien daniel, muy bien hecho, este DOCUMENTO  es un combo en lo que hocico a la DC.
2021-02-18 22:40:56;GeorgeL78201392;@danieljadue @lcch O sea, la respuesta de verdad es NO.
2021-02-18 22:40:10;larazon_cl;"Alcalde Daniel Jadue @danieljadue 👉""Estamos muy felices. Hoy nos vino a supervisar el ISP por el #Avifavir y nos fu… https://t.co/NujgmHXZf5"
2021-02-18 22:39:54;patonga6;@RFelipeMC @Latrodectus0 @Cperezcarvallo @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor No tenemos las patitas.
2021-02-18 22:39:19;peditusorino;@JaduexChile @mariseka @danieljadue @ActivaResearch @mujeresporjadue @JadueALaMoneda @MigrantesXJadue @jjcc_chile… https://t.co/Oy2Kn8NUCE
2021-02-18 22:39:04;rumorarmonio;@Jose20212121 @pgboyg @danieljadue Cual sería el trabajo de todos? La vacuna sputnik V Es la más efectiva y es rusa… https://t.co/BYmZWppzRv
2021-02-18 22:39:02;patonga6;@mbocazs @Cperezcarvallo @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor ❓❓❓❓❓❓
2021-02-18 22:38:52;ChatoPadilla12;@julve_a @danieljadue Jajajajja. Celebras 7 pacientes y alegas por que el gobierno lleva 2 millones de paciente.. A… https://t.co/Q9LPjFSYPN
2021-02-18 22:38:33;ArttheCo;@Cperezcarvallo @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor Pero si según tú es un invento
2021-02-18 22:38:25;CeciliaLemusVel;@danieljadue El sabe sabe mi presidente Jadue
2021-02-18 22:38:25;fega1970;@danieljadue En resumen, felices por cumplir protocolo de importación (rotulación de la caja, información del conte… https://t.co/H6VkO4mPIV
2021-02-18 22:38:15;panzer1985;@danieljadue Yaaaa siiii
2021-02-18 22:38:01;tomascash7;@adisius @patricio_colina @PoleaibaO @yersonburgos @danieljadue Chistoso que lo digan weones como vo
2021-02-18 22:37:06;IturriagaRomina;@jotagato30 @danieljadue @lcch ¿Y donde está esa petición? Muestrela pues
2021-02-18 22:36:58;julve_a;@sotooo13 @danieljadue Chao ctm
2021-02-18 22:36:51;Torombolo_cl;@danieljadue Guau! https://t.co/U0fOatfngj
2021-02-18 22:36:15;Alexis53996386;@Icarus3012 @latercera La @latercera en un reportaje de investigación determinó que @danieljadue era tesorero del c… https://t.co/j6fQoALOWq
2021-02-18 22:36:10;HeliaOrdenesCas;@karneu3 @AnonymusChileno @PCdeChile @danieljadue Si , 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
2021-02-18 22:35:53;julve_a;@ceridread @danieljadue Bla bla bla bla,, callate ctm,,
